Type,SKU,Name,Manage stock?,Stock,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Parent,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Regular price,Description,Short description,Categories
variable,dog-army-print-collar,Dog Army Print Collar,0,,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_0a54640d-7d52-43fb-9a6d-d5b2d35873b2.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/DogArmyPrintCollar.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_ceb13e17-5554-45ec-9c7b-f7cf8bad0541.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar.png",Accessory size,"L, M, S",1.0,0.0,,,,,,,"Crafted from durable, soft‑touch nylon with reinforced stitching, this collar keeps your pup secure while showcasing a bold camouflage army print that’s perfect for adventurous spirits. The adjustable buckle ensures a snug fit for dogs of all sizes, and the quick‑release clasp makes putting it on and taking it off a breeze.<ul><li>Heavy‑duty nylon construction resists wear and tear</li><li>Vibrant army‑print design stands out in any setting</li><li>Adjustable size fits necks from 10‑24 inches</li><li>Quick‑release buckle for easy on/off</li><li>Soft padded interior prevents chafing</li></ul>",Turn heads on every walk with the Dog Army Print Collar—where rugged style meets unbeatable comfort.,Dog Collar / Printed Collar
variation,dog-army-print-collar-L,Dog Army Print Collar - L,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_0a54640d-7d52-43fb-9a6d-d5b2d35873b2.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/DogArmyPrintCollar.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_ceb13e17-5554-45ec-9c7b-f7cf8bad0541.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar.png",Accessory size,L,,0.0,dog-army-print-collar,,,,,,,,
variation,dog-army-print-collar-M,Dog Army Print Collar - M,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_0a54640d-7d52-43fb-9a6d-d5b2d35873b2.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/DogArmyPrintCollar.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_ceb13e17-5554-45ec-9c7b-f7cf8bad0541.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar.png",Accessory size,M,,0.0,dog-army-print-collar,,,,,,,,
variation,dog-army-print-collar-S,Dog Army Print Collar - S,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_0a54640d-7d52-43fb-9a6d-d5b2d35873b2.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/DogArmyPrintCollar.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar_ceb13e17-5554-45ec-9c7b-f7cf8bad0541.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-collar/Dog_Army_Print_Collar.png",Accessory size,S,,0.0,dog-army-print-collar,,,,,,,,
variable,dog-army-print-leash,Dog Army Print Leash,0,,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_09b16efd-e1f2-469b-a206-1b84f8dfecd0.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_2570054f-181c-48a1-94ac-66155b85334b.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Gemini_Generated_Image_u6x2inu6x2inu6x2.png",Accessory size,"L, M, S",1.0,0.0,,,,,,,"The Dog Army Print Leash combines rugged camouflage aesthetics with high‑strength nylon for a leash that stands out on the trail and in the city. Its reinforced stitching and comfortable padded handle keep you and your pup in control, while the quick‑release clasp ensures safety and convenience.
<ul>
<li>Heavy‑duty nylon webbing resists fraying and weather.</li>
<li>Padded, ergonomic handle reduces hand fatigue.</li>
<li>Secure metal quick‑release clasp for easy attachment.</li>
<li>Vibrant army‑print design adds a bold look.</li>
<li>Available in multiple sizes to fit small, medium, and large breeds.</li>
</ul>","Turn every walk into a mission with the Dog Army Print Leash—stylish, durable, and ready for adventure.",Dog Leash / Printed Dog Leash
variation,dog-army-print-leash-L,Dog Army Print Leash - L,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_09b16efd-e1f2-469b-a206-1b84f8dfecd0.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_2570054f-181c-48a1-94ac-66155b85334b.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Gemini_Generated_Image_u6x2inu6x2inu6x2.png",Accessory size,L,,0.0,dog-army-print-leash,,,,,299.0,,,
variation,dog-army-print-leash-M,Dog Army Print Leash - M,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_09b16efd-e1f2-469b-a206-1b84f8dfecd0.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_2570054f-181c-48a1-94ac-66155b85334b.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Gemini_Generated_Image_u6x2inu6x2inu6x2.png",Accessory size,M,,0.0,dog-army-print-leash,,,,,279.0,,,
variation,dog-army-print-leash-S,Dog Army Print Leash - S,1,500.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_09b16efd-e1f2-469b-a206-1b84f8dfecd0.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Dog_army_print_leash_2570054f-181c-48a1-94ac-66155b85334b.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-army-print-leash/Gemini_Generated_Image_u6x2inu6x2inu6x2.png",Accessory size,S,,0.0,dog-army-print-leash,,,,,249.0,,,
variable,dog-bell-collar,Dog Bell Collar,0,,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,"Black, Blue, Brown, Orange, Red, Yellow",1.0,0.0,,Accessory size,"L, M, S",1.0,0.0,,"Let your dog explore with confidence while you enjoy complete peace of mind. The Dog Bell Collar features a durable, weather-resistant design with a softly polished brass bell that rings clearly without startling sensitive ears. Crafted to attach effortlessly to most standard collars and harnesses, this lightweight accessory blends seamlessly into your pet’s daily adventures.
<ul>
<li>Crystal-clear chime audible up to 30 feet away</li>
<li>Lightweight, tangle-free design for maximum comfort</li>
<li>Weather-resistant brass construction built to last</li>
<li>Easy-to-use snap-on clip fits collars up to 0.75 inches wide</li>
<li>Available in classic gold and festive red finishes</li>
</ul>","Keep your furry friend safe and track their every move with our premium Dog Bell Collar. The clear, gentle chime helps you always know where your pup is wandering, whether indoors or out in the yard.",Pet Supplies
variation,dog-bell-collar-Black-L,Dog Bell Collar - Black - L,1,200.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,Black,,0.0,dog-bell-collar,Accessory size,L,,0.0,279.0,,,
variation,dog-bell-collar-Black-M,Dog Bell Collar - Black - M,1,200.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,Black,,0.0,dog-bell-collar,Accessory size,M,,0.0,279.0,,,
variation,dog-bell-collar-Black-S,Dog Bell Collar - Black - S,1,200.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,Black,,0.0,dog-bell-collar,Accessory size,S,,0.0,279.0,,,
variation,dog-bell-collar-Blue-L,Dog Bell Collar - Blue - L,1,200.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,Blue,,0.0,dog-bell-collar,Accessory size,L,,0.0,279.0,,,
variation,dog-bell-collar-Blue-M,Dog Bell Collar - Blue - M,1,200.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,Blue,,0.0,dog-bell-collar,Accessory size,M,,0.0,279.0,,,
variation,dog-bell-collar-Blue-S,Dog Bell Collar - Blue - S,1,200.0,"https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_37_56_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_38_43_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_36_14_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_34_05_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/ChatGPT_Image_Feb_3_2026_12_35_04_PM.png,https://raw.githubusercontent.com/AdityaGupta832342/product-images/main/dog-bell-collar/Gemini_Generated_Image_p186txp186txp186.png",Color,Blue,,0.0,dog-bell-collar,Accessory size,S,,0.0,279.0,,,
